C_F,Type,Full_Text
TBKTVN,ORG,Thời báo Kinh tế Việt Nam
TBMMN,,Tai biến mạch máu não
TBT,PER,Tổng biên tập
TBTT,,thuê bao trả trước
TBXH,,Thương binh Xã hội
TC,,"Tài chính, Tổng cộng"
TCBVNTD,,Tiêu chuẩn và bảo vệ người tiêu dùng
TCCN,,trung cấp chuyên nghiệp
TCCS,,"tổ chức cơ sở, Tạp chí Cộng sản"
TCDL,ORG,Tổng cục Du lịch 
TCHL,,tuyệt chủng hàng loạt
TCHQ,ORG,Tổng cục hải quan
TCKH,,"Tài chính - Kế hoạch, Tạp chí Khoa học, trái cây không hạt"
TCKT,,Tài chính - Kế toán
TCMN,,thủ công mỹ nghệ
TCMR,,tiêm chủng mở rộng 
TCN,,trung cấp nghề
TCNN,,Tài chính nhà nước
TCS,PER,Trịnh Công Sơn
TCT,,Tổng công ty
TCTD,,tổ chức tín dụng
TCTT,,trò chơi trực tuyến
TCTTMSG,ORG,Tổng công ty Thương mại Sài Gòn
TCVN,,Tiêu chuẩn Việt Nam 
TCVSG,ORG,Thảo Cầm Viên Sài Gòn
TD,,tình dục
TĐ,,từ điển
TĐBKVN,,Từ Điển Bách Khoa Việt Nam
TĐC,,tái định cư
TDTT,,Thể dục thể thao
TDTTQG,,Thể dục thể thao Quốc gia
TDV,PER,trình dược viên
TFS,ORG,Hãng phim Truyền hình TPHCM
TG,,thế giới
TGĐ,PER,Tổng giám đốc
TGPL,,trợ giúp pháp lý
TH,,"Truyền hình, Trung học"
THCB,,Trung học Chuyên ban
THCN,,Trung học chuyên nghiệp
THCS,,Trung học cơ sở
THCSND,,Thực hiện chính sách nhà đất
THCSNĐ,,Thực hiện chính sách nhà đất
THDL,,trung học dân lập
THGT,,tín hiệu giao thông
THKTS,,truyền hình kỹ thuật số
THKTSMĐ,,truyền hình kỹ thuật số mặt đất
THPT,,Trung học phổ thông
THQG,,thương hiệu quốc gia
THS,,Tín hiệu số
THTT,,truyền hình trực tiếp
THVN,,Truyền hình Việt Nam
THX,ORG,Tân hoa xã
TK,,thiết kế
TKCN,,tìm kiếm cứu nạn
TM,,Thương mại
TMCP,,Thương mại cổ phần
TMĐT,,Thương mại Điện tử
TMN,ORG,Thép Miền Nam 
TMV,ORG,Công ty ôtô Toyota Việt Nam
TN,PER,Thanh niên
TNCN,,thu nhập cá nhân 
TNCS,PER,Thanh niên cộng sản
TNĐH,,tốt nghiệp đại học
TNDN,,Thu nhập doanh nghiệp
TNĐT,,Thoát nước Đô thị
TNGT,,Tai nạn giao thông
TNHC,PER,Trinh nữ hoàng cung
TNHH,,Trách nhiệm hữu hạn
TNK,,thuế nhập khẩu
TNKQ,,trắc nghiệm khách quan
TNLN,PER,thanh niên lập nghiệp
TNMT,,Tài nguyên Môi trường
TNND,,Tiếng nói Nhân dân
TNNT,,thanh niên nông thôn
TNO,ORG,Thanh niên Online
TNS,PER,tu nghiệp sinh
TNSV,PER,thanh niên sinh viên
TNSVVN,PER,thanh niên sinh viên Việt Nam
TNT,PER,Tình Nguyện Trẻ
TNTN,,"thanh niên tình nguyện, tài nguyên thiên nhiên"
TNTP,PER,Thiếu niên Tiền phong
TNV,PER,Tình nguyện viên
TNVN,PER,Thanh niên Việt Nam
TNXH,,tệ nạn xã hội
TNXK,PER,Thanh niên xung kích
TNXP,PER,Thanh niên xung phong
TPCĐ,,trái phiếu chuyển đổi
TPCN,,Thực phẩm chức năng
TPCT,,Thành phố Cần Thơ
TPHCM,,Thành phố Hồ Chí Minh
TPO,ORG,Tiên phong Online
TQ,LOC,Trung Quốc
TSDĐ,,tiền sử dụng đất
TSKH,PER,Tiến sỹ Khoa học
TSN,,Tân Sơn Nhất
TT,,"Trung tâm, Thị trường"
TTBĐS,,thị trường bất động sản
TTBDVH,,Trung tâm bồi dưỡng văn hóa
TTBDVHNG,,Trung tâm bồi dưỡng văn hóa ngoài giờ
TTBVQTG,,Trung tâm bảo vệ quyền tác giả
TTBYT,,Trang thiết bị y tế
TTCK,ORG,"Trung tâm chứng khoán, Thị trường Chứng khoán"
TTCN,ORG,"Tuổi trẻ Chủ nhật, Trung tâm cai nghiện, Tiểu thủ công nghiệp"
TTCP,PER,"Thanh tra Chính phủ , Thủ tướng Chính phủ"
TTCT,,Thể Thao Cuối Tuần
TTĐB,,thuế Tiêu thụ đặc biệt
TTDD,ORG,Trung tâm Dinh dưỡng
TTĐM,ORG,Trung tâm Điện máy
TTDV,ORG,Trung tâm Dịch vụ
TTDVVL,ORG,Trung tâm Dịch vụ việc làm
TTg,PER,Thủ tướng
TTGDCK,ORG,Trung tâm giao dich chứng khoán
TTGDTX,ORG,Trung tâm Giáo dục thường xuyên
TTGT,,Trật tự Giao thông
TTH,LOC,Thừa Thiên Huế
TTHTCĐ,ORG,Trung tâm học tập cộng đồng
TTHTSV,ORG,trung tâm hỗ trợ sinh viên
TTK,PER,tổng thư ký
TTLT,,Thông tư liên tịch
TTN,PER,thanh thiếu niên
TTNN,ORG,Trung tâm Ngoại Ngữ
TTO,ORG,Tuổi trẻ online
TTQLKT,,trật tự quản lý kinh tế
TTTH,,Trung tâm Tin học
TTTM,,trung tâm thương mại 
TTTON,,thụ tinh trong ống nghiệm
TTTTN,PER,trí thức trẻ tình nguyện
TTVGT,PER,trật tự viên giao thông
TTVH,,Trung tâm Văn hóa
TTVN,,"Trí tuệ Việt Nam, Trái tim Việt Nam, Thể thao Việt Nam"
TTXH,,trật tự xã hội
TTXVN,ORG,Thông tấn xã Việt Nam
TTYT,,Trung tâm y tế
TTYTDP,,Trung tâm Y tế dự phòng
TV,,"Thư viện, Tivi"
TVHK,PER,tiếp viên hàng không
TVN,ORG,Than Việt Nam
TVQH,,Thường vụ Quốc hội
TVV,PER,tư vấn viên
TW,,Trung ương
TX,,Thị xã
UBCKNN,ORG,Ủy ban Chứng khoán Nhà nước
UBKT,ORG,Uỷ ban Kiểm tra
UBMTTQ,ORG,Ủy ban Mạt trận Tổ quốc
UBMTTQVN,ORG,Ủy ban Mặt trận Tổ quốc Việt Nam
UBNDTP,ORG,Ủy ban Nhân dan Thành phố
UBTDTT,ORG,Ủy ban Thể dục Thể thao
UBTVQH,ORG,Ủy ban thường vụ Quốc hội 
ƯCV,PER,ứng cử viên
UNDP,ORG,Chương trình Phát triển Liên Hợp Quốc
UNESCO,ORG,"Tổ chức Giáo dục, Khoa học và Văn hóa của Liên hiệp quốc"
UNFPA,ORG,Quỹ dân số Liên Hợp Quốc
UNHCR,ORG,Văn phòng Cao ủy Liên hợp quốc về người tỵ nạn
UNICEF,ORG,Quỹ Nhi đồng Liên hợp quốc
UNIFIL,ORG,Lực lượng gìn giữ hòa bình của LHQ tại miền nam Libăng
UT,,ung thư
UV,PER,Ủy viên
UVBCH,PER,Ủy viên ban chấp hành
UVBCT,PER,Ủy viên Bộ chính trị
VCB,ORG,Ngân hàng ngoại thương Việt Nam
VCK,,Vòng chung kết
VD,,ví dụ
VĐ,,Vô địch
VDC,ORG,Công ty Điện toán và Truyền số liệu
VĐQG,,Vô địch Quốc gia
VĐV,PER,Vận động viên
VĐVQG,PER,Vận động viên Quốc gia
VFF,ORG,Liên đoàn bóng đá Việt Nam
VH,,Văn hóa
VHGDTNTN,,Văn hóa Giáo dục Thanh niên Thiếu niên
VHGDTTNNĐ,,Văn hóa Giáo dục Thanh thiếu niên và Nhi đồng
VHNT,,Văn học Nghệ thuật
VHTT,,Văn hóa Thông tin
VKS,ORG,Viện Kiểm sát
VKSND,ORG,Viện Kiểm sát Nhân dân
VKSNDTC,ORG,Viện Kiểm sát Nhân dân Tối cao
VL,,Vật lý
VLTK,,Võ Lâm Truyền Kỳ
VLXD,,Vật liệu xây dựng
VN,LOC,Việt Nam
VNCC,ORG,Tổng Công ty Xi măng Việt Nam
VNM,ORG,Vinamilk 
VP,,Văn phòng
VPCP,ORG,Văn phòng chính phủ
VPĐD,,Văn phòng đại diện
VQG,,Vườn Quốc gia
VS,,Vệ sinh
VSP,ORG,Xí nghiệp Liên doanh Vietsovpetro
VT,,"Viên thông, Vi tính, Vũ trụ"
VTV,ORG,Đài truyền hình Việt Nam
VYSA,ORG,Hội Thanh niên Sinh viên Việt Nam tại Nhật Bản
WB,ORG,Ngân hàng thế giới
WTO,,Tổ chức Thương mại thế giới
XD,,Xây dựng
XDCB,,xây dựng cơ bản
XĐGN,,Xoá đói giảm nghèo
XDHK,,Xăng dầu hàng không
XH,,Xã hội
XHCN,,Xã hội chủ nghĩa
XHH,,xã hội hóa
XK,,Xuất khẩu
XKLĐ,,xuất khẩu lao động
XN,,Xí nghiệp
XNK,,Xuất nhập khẩu
XSKT,,xổ số kiến thiết
XTTM,,Xúc tiến thương mại
XX,,Xét xử
YKVN,ORG,Y khoa Việt Nam
YTDP,,Y tế Dự phòng
YTế,,Y tế
